codigo,empresa,puesto,inicio,fin,descripcion
JRH0,Hotel Crown Plaza,Gerente de Mantenimiento,02/2013,06/2013,Administración de inversiones y mantenimiento
JRH0,Corporación Musmanni,Ingeniero de Proyectos,04/2012,12/2012,Remodelación de edificios y coordinación de permisos
JRH0,Walmart México y Centroamérica,Coordinador de instalaciones electromecánicas,12/2008,03/2012,Coordinación de instalaciones electromecánicas en proyectos de construcción
