codigo,grado,campo,institucion,pais,año
IVG0,Maestría,"Gestión, Generación y Distribución de Energía",Universidad de Cadíz,España,2015
JGC0,Bachillerato,Enseñanza de Electromecánica,Universidad Técnica Nacional,Costa Rica,2012
JGC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2011
JMJ0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2011
JMJ0,Maestría,Ingeniería Aeroespacial,ISAE-SUPAERO,Francia,2018
JMJ0,Doctorado,Ingeniería Industrial e Informática,ISAE-SUPAERO,Francia,2022
JAC0,Bachillerato,Ingeniería Electromecánica,Universidad Internacional de las Americas,Costa Rica,1900
JAC0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1900
JAC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1900
JAC0,Maestría,Sistemas Modernos en Manufactura,Instituto Tecnológico de Costa Rica,Costa Rica,1900
JMH0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2009
JMH0,Mestría,Ingeniería de la Energía,Universidad Politécnica de Madrid,España,2015
JRG0,Técnico,Mecánica de Precisión,CTP José Figueres Ferrer,Costa Rica,2001
JRG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1900
LSM0,Licenciatura,Ingeniería Mecánica,Universidad de Costa Rica,Costa Rica,1998
LSM0,Maestría,Administración de Proyectos de Construcción,Universidad de Costa Rica,Costa Rica,2010
LAR0,Bachillerato,Ingeniería Electrónica,Instituto Tecnológico de Costa Rica,Costa Rica,1997
LAR0,Maestría,Ingeniería Electrónica,Instituto Tecnológico de Costa Rica,Costa Rica,2003
MMC0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1996
MMC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1998
MMC0,Maestría,Ingeniería Mecánica Especialidad en Diseño Mecánico,Centro Nacional de Investigación y Desarrollo Tecnólogico,México,2001
NVP0,Bachillerato,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2003
NVP0,Licenciatura,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2004
NVP0,Maestría,Ingeniería Electrónica,Instituto Tecnológico de Costa Rica,Costa Rica,2018
OMR0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1988
OMR0,Especialización,Energía Solar Fotovoltaica,FYCSA,España,1989
OMR0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1993
OMR0,Maestría,Administración de Empresas,Instituto Tecnológico de Costa Rica,Costa Rica,2001
REH0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1990
REH0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1998
REH0,Maestría,Administración de Ingeniería Electromecánica con Enfasis en Administración de Energía,Instituto Tecnológico de Costa Rica,Costa Rica,2017
FMG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2013
FMG0,Maestría,Ingeniería en Microsistemas,Albert-Ludwings Universitat Freiburg,Alemania,2023
LCG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2017
MJC0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2018
MBC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2011
JPS0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2007
SMC0,Técnico,Electricidad,ITH,Honduras,1993
SMC0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1999
SMC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2002
SMC0,Maestría,Administración de Empresas,Instituto Tecnológico de Costa Rica,Costa Rica,2007
GMJ0,Bachillerato,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2002
GMJ0,Especialización,Mercados Energéticos,Universidad Nacional de Colombia,Colombia,2013
GMJ0,Maestría,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2010
LMC0,Bachillerato,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2002
LMC0,Licenciatura,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2009
LMC0,Maestría,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2012
LMC0,Maestría,Administración de Proyectos,Universidad para la Cooperación Internacional,Costa Rica,2021
RMC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2008
RMC0,Maestría,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2013
